RandomForest.py: tuned_parameters = [{'n_estimators' : [200, 1000, 3000:100:4000], 'max_depth' : [1, 5, 10, 100, None],
				'bootstrap' : [True, False], 'class_weight' : [None, 'balanced', 'balanced_subsample'] }]
Best parameters set found on development set:
{'n_estimators': 3100, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}
0.699 (+/-0.001) for {'n_estimators': 500, 'bootstrap': False, 'max_depth': 1, 'class_weight': None}
0.700 (+/-0.003) for {'n_estimators': 1000, 'bootstrap': False, 'max_depth': 1, 'class_weight': None}
0.596 (+/-0.059) for {'n_estimators': 1, 'bootstrap': False, 'max_depth': 5, 'class_weight': None}
0.715 (+/-0.037) for {'n_estimators': 10, 'bootstrap': False, 'max_depth': 5, 'class_weight': None}
0.728 (+/-0.019) for {'n_estimators': 100, 'bootstrap': False, 'max_depth': 5, 'class_weight': None}
0.731 (+/-0.006) for {'n_estimators': 200, 'bootstrap': False, 'max_depth': 5, 'class_weight': None}
0.735 (+/-0.021) for {'n_estimators': 500, 'bootstrap': False, 'max_depth': 5, 'class_weight': None}
0.736 (+/-0.005) for {'n_estimators': 1000, 'bootstrap': False, 'max_depth': 5, 'class_weight': None}
0.623 (+/-0.021) for {'n_estimators': 1, 'bootstrap': False, 'max_depth': 10, 'class_weight': None}
0.715 (+/-0.024) for {'n_estimators': 10, 'bootstrap': False, 'max_depth': 10, 'class_weight': None}
0.761 (+/-0.009) for {'n_estimators': 100, 'bootstrap': False, 'max_depth': 10, 'class_weight': None}
0.767 (+/-0.009) for {'n_estimators': 200, 'bootstrap': False, 'max_depth': 10, 'class_weight': None}
0.760 (+/-0.005) for {'n_estimators': 500, 'bootstrap': False, 'max_depth': 10, 'class_weight': None}
0.761 (+/-0.008) for {'n_estimators': 1000, 'bootstrap': False, 'max_depth': 10, 'class_weight': None}
0.583 (+/-0.010) for {'n_estimators': 1, 'bootstrap': False, 'max_depth': 100, 'class_weight': None}
0.704 (+/-0.019) for {'n_estimators': 10, 'bootstrap': False, 'max_depth': 100, 'class_weight': None}
0.754 (+/-0.041) for {'n_estimators': 100, 'bootstrap': False, 'max_depth': 100, 'class_weight': None}
0.755 (+/-0.010) for {'n_estimators': 200, 'bootstrap': False, 'max_depth': 100, 'class_weight': None}
0.762 (+/-0.012) for {'n_estimators': 500, 'bootstrap': False, 'max_depth': 100, 'class_weight': None}
0.770 (+/-0.021) for {'n_estimators': 1000, 'bootstrap': False, 'max_depth': 100, 'class_weight': None}
0.584 (+/-0.020) for {'n_estimators': 1, 'bootstrap': False, 'max_depth': None, 'class_weight': None}
0.694 (+/-0.002) for {'n_estimators': 10, 'bootstrap': False, 'max_depth': None, 'class_weight': None}
0.757 (+/-0.032) for {'n_estimators': 100, 'bootstrap': False, 'max_depth': None, 'class_weight': None}
0.761 (+/-0.008) for {'n_estimators': 200, 'bootstrap': False, 'max_depth': None, 'class_weight': None}
0.769 (+/-0.011) for {'n_estimators': 500, 'bootstrap': False, 'max_depth': None, 'class_weight': None}
0.768 (+/-0.013) for {'n_estimators': 1000, 'bootstrap': False, 'max_depth': None, 'class_weight': None}
0.531 (+/-0.008) for {'n_estimators': 1, 'bootstrap': False, 'max_depth': 1, 'class_weight': 'balanced'}
0.637 (+/-0.012) for {'n_estimators': 10, 'bootstrap': False, 'max_depth': 1, 'class_weight': 'balanced'}
